episode,reward_with_human,reward_without_human
0,17.967274622147457,37.80055600021273
1,0.7048811644419146,-1.510821107
2,41.01799299757464,12.52574998789349
3,29.307890035376943,12.027266648783737
4,98.07945575973595,-67.47134653
5,-7.029467067,-19.3204014
6,78.88217115840881,55.653066761449566
7,10.053131511488779,58.38940406647305
8,-43.04373418,37.02812239145408
9,-41.58363037,6.305403264971947
10,73.71942496755315,27.434399420358012
11,-1.873735583,-90.96171429
12,151.20928517461616,-0.73201368
13,-31.27777074,-63.84151582
14,33.69188450790903,-11.77087884
15,-44.42877119,-64.7554418
16,25.801434010625847,7.508851154
17,-12.18252941,6.503560291979575
18,2.177904605,-32.97533044
19,21.16176452840064,22.42059882598292
20,99.33750060193074,27.580775531735206
21,-59.92890804,-2.43025797
22,97.14335411830578,-20.12189521
23,30.84646642365498,-44.38530464
24,15.29587299599072,42.65124384437929
25,0.000299331,-48.73904081
26,-48.69261814,-48.30548499
27,1.6490084508560265,6.891075004825925
28,-42.23105642,11.097584966711487
29,-29.43485219,-21.20281201
30,63.97718191155961,-30.58022435
31,79.78706692326043,-50.9346941
32,42.945798139069694,-13.32350161
33,13.743498185557861,31.551308945228712
34,-8.291228261,-27.36832367
35,100.50481082788227,-35.8478031
36,-21.54091939,-28.26346644
37,20.93180945159783,43.26540835935155
38,-11.38794683,39.42425297
39,4.384724899453303,60.344263772303904
40,17.713680694495125,87.60104946907367
41,46.12688107614423,33.61128636476577
42,29.63818435550548,36.560638118766356
43,1.3202321485523676,-14.9515346
44,-23.97979417,53.67042722
45,78.39653500801165,78.58469889988791
46,10.26236872499652,-7.458726909
47,-45.79754782,-68.19196045
48,91.24719993350978,-5.926317436
49,-12.92074432,-10.40460459
50,122.54436415089529,-63.02013895
51,84.12904473892849,44.55054731
52,78.03907899301431,3.565911202643399
53,-42.09397985,-29.32691921
54,-6.242601578,-26.62760445
55,-74.05161933,-62.50246557
56,89.47628292885992,-56.75756895
57,118.03775418654737,25.546111521896904
58,98.14226159917976,46.66578170094897
59,54.75746956,-6.919453432
60,45.33998790681166,-1.730211694
61,-3.123135235,-5.121166264
62,2.9536811937211596,-8.173553939
63,59.527782138051904,32.70809039151617
64,15.891426533720768,25.786097594597614
65,-39.54122136,46.942835417781524
66,57.77945127730423,95.10987697803621
67,111.47751720199949,51.731548975834386
68,10.02278603518215,37.77285326892643
69,3.300783255706719,41.17958941436728
70,77.86319124604536,-17.96897476
71,-18.06325619,71.79593468408726
72,22.995361695215912,-86.13282646
73,-7.459957771,29.10958040641178
74,88.32411151002249,21.064451811422302
75,112.22445721782074,-26.02116194
76,68.62964966940105,-7.174236553
77,9.167465784710878,-19.56456559
78,-2.848125873,-3.3328239
79,44.68335538372284,46.57104333200472
80,7.099658606737464,-44.9227111
81,192.47873819105627,38.82150794871192
82,82.62385488568853,-5.060721207
83,-59.04619661,-92.10536856
84,154.0818182,-25.54191906
85,6.2658908190155955,-14.00614161
86,39.185910627490955,-23.81368445
87,44.276780050424875,-10.32994042
88,75.02588546699377,-71.00256168
89,2.4058995546354502,-15.791861
90,29.41393901593416,34.829672544888695
91,-5.500017675,14.995594946056798
92,-70.91074665,87.10119376625335
93,17.846714986188225,-34.89065492
94,-16.12334107,93.69008767526492
95,31.35627647178098,46.45609037611024
96,10.372297089227633,7.968048128813891
97,18.310967645004418,-5.11364801
98,184.28015508645785,129.2422421837308
99,73.09166690579752,21.31104755732776
