episode,reward_sum,epsilon,timestamp
0,37.80055600021273,1.0,2025-11-16T19:37:16.191319
1,-1.5108211070973994,1.0,2025-11-16T19:37:16.222711
2,12.52574998789349,1.0,2025-11-16T19:37:16.271149
3,12.027266648783737,1.0,2025-11-16T19:37:16.320967
4,-67.47134653142604,1.0,2025-11-16T19:37:16.522000
5,-19.320401395017086,0.998,2025-11-16T19:37:22.061076
6,55.653066761449566,0.996004,2025-11-16T19:37:27.507039
7,58.38940406647305,0.994011992,2025-11-16T19:37:32.711250
8,37.02812239145408,0.992023968016,2025-11-16T19:37:37.909497
9,6.305403264971947,0.990039920079968,2025-11-16T19:37:43.176340
10,27.434399420358012,0.9880598402398081,2025-11-16T19:37:48.327374
11,-90.96171428946539,0.9860837205593285,2025-11-16T19:37:53.772050
12,-0.7320136804235311,0.9841115531182099,2025-11-16T19:37:58.967955
13,-63.841515818491835,0.9821433300119734,2025-11-16T19:38:04.163413
14,-11.770878844457554,0.9801790433519495,2025-11-16T19:38:09.286029
15,-64.75544179742724,0.9782186852652456,2025-11-16T19:38:14.518436
16,7.50885115353228,0.976262247894715,2025-11-16T19:38:19.831812
17,6.503560291979575,0.9743097233989256,2025-11-16T19:38:24.970683
18,-32.975330438534606,0.9723611039521278,2025-11-16T19:38:30.076839
19,22.42059882598292,0.9704163817442236,2025-11-16T19:38:35.464289
20,27.580775531735206,0.9684755489807352,2025-11-16T19:38:40.696827
21,-2.4302579698744893,0.9665385978827737,2025-11-16T19:38:45.951971
22,-20.121895212237213,0.9646055206870082,2025-11-16T19:38:51.025573
23,-44.38530463785041,0.9626763096456342,2025-11-16T19:38:56.278362
24,42.65124384437929,0.9607509570263429,2025-11-16T19:39:01.523544
25,-48.73904081118559,0.9588294551122902,2025-11-16T19:39:06.710640
26,-48.3054849851405,0.9569117962020657,2025-11-16T19:39:11.957319
27,6.891075004825925,0.9549979726096616,2025-11-16T19:39:17.133297
28,11.097584966711487,0.9530879766644422,2025-11-16T19:39:22.257537
29,-21.202812006323136,0.9511818007111134,2025-11-16T19:39:27.623273
30,-30.580224351350466,0.9492794371096911,2025-11-16T19:39:32.730120
31,-50.93469409774805,0.9473808782354717,2025-11-16T19:39:37.995638
32,-13.323501612078548,0.9454861164790007,2025-11-16T19:39:43.118344
33,31.551308945228712,0.9435951442460427,2025-11-16T19:39:48.423607
34,-27.368323669080247,0.9417079539575507,2025-11-16T19:39:53.834254
35,-35.847803101923674,0.9398245380496356,2025-11-16T19:39:59.299085
36,-28.26346644252985,0.9379448889735363,2025-11-16T19:40:05.819677
37,43.26540835935155,0.9360689991955893,2025-11-16T19:40:12.564472
38,39.4242529662406,0.9341968611971981,2025-11-16T19:40:19.014975
39,60.344263772303904,0.9323284674748037,2025-11-16T19:40:25.108646
40,87.60104946907367,0.930463810539854,2025-11-16T19:40:31.206730
41,33.61128636476577,0.9286028829187744,2025-11-16T19:40:37.378605
42,36.560638118766356,0.9267456771529368,2025-11-16T19:40:43.707805
43,-14.951534598788498,0.9248921857986309,2025-11-16T19:40:50.422046
44,53.6704272189357,0.9230424014270336,2025-11-16T19:40:57.167303
45,78.58469889988791,0.9211963166241796,2025-11-16T19:41:04.009716
46,-7.458726909094331,0.9193539239909312,2025-11-16T19:41:10.567242
47,-68.19196045386946,0.9175152161429493,2025-11-16T19:41:17.407754
48,-5.926317435692532,0.9156801857106633,2025-11-16T19:41:24.617597
49,-10.404604585850345,0.913848825339242,2025-11-16T19:41:30.682647
50,-63.020138948324345,0.9120211276885636,2025-11-16T19:41:36.995252
51,44.5505473134525,0.9101970854331864,2025-11-16T19:41:43.141465
52,3.565911202643399,0.9083766912623201,2025-11-16T19:41:49.360040
53,-29.326919209486867,0.9065599378797955,2025-11-16T19:41:56.427360
54,-26.627604446490224,0.9047468180040359,2025-11-16T19:42:03.407439
55,-62.502465573998784,0.9029373243680279,2025-11-16T19:42:09.685849
56,-56.75756895098157,0.9011314497192918,2025-11-16T19:42:16.308410
57,25.546111521896904,0.8993291868198532,2025-11-16T19:42:22.584486
58,46.66578170094897,0.8975305284462135,2025-11-16T19:42:28.745809
59,-6.919453432267833,0.8957354673893211,2025-11-16T19:42:35.509493
60,-1.7302116939698067,0.8939439964545425,2025-11-16T19:42:41.774850
61,-5.121166264023556,0.8921561084616334,2025-11-16T19:42:47.959429
62,-8.173553938889855,0.8903717962447101,2025-11-16T19:42:53.986650
63,32.70809039151617,0.8885910526522206,2025-11-16T19:43:00.367436
64,25.786097594597614,0.8868138705469162,2025-11-16T19:43:06.616442
65,46.942835417781524,0.8850402428058224,2025-11-16T19:43:12.787606
66,95.10987697803621,0.8832701623202107,2025-11-16T19:43:19.252996
67,51.731548975834386,0.8815036219955703,2025-11-16T19:43:25.585542
68,37.77285326892643,0.8797406147515792,2025-11-16T19:43:32.634067
69,41.17958941436728,0.877981133522076,2025-11-16T19:43:39.565551
70,-17.968974764525342,0.8762251712550319,2025-11-16T19:43:46.776715
71,71.79593468408726,0.8744727209125218,2025-11-16T19:43:53.359612
72,-86.13282646307029,0.8727237754706968,2025-11-16T19:44:00.250570
73,29.10958040641178,0.8709783279197554,2025-11-16T19:44:06.571172
74,21.064451811422302,0.8692363712639158,2025-11-16T19:44:12.816623
75,-26.021161941614324,0.867497898521388,2025-11-16T19:44:19.151997
76,-7.174236552601933,0.8657629027243453,2025-11-16T19:44:25.805802
77,-19.56456559269714,0.8640313769188966,2025-11-16T19:44:32.572766
78,-3.33282390011631,0.8623033141650589,2025-11-16T19:44:39.215183
79,46.57104333200472,0.8605787075367288,2025-11-16T19:44:46.233170
80,-44.92271109670426,0.8588575501216553,2025-11-16T19:44:53.260105
81,38.82150794871192,0.857139835021412,2025-11-16T19:45:00.358968
82,-5.060721206907683,0.8554255553513692,2025-11-16T19:45:06.594732
83,-92.1053685603367,0.8537147042406664,2025-11-16T19:45:13.162548
84,-25.541919061892422,0.8520072748321851,2025-11-16T19:45:19.435860
85,-14.006141607802661,0.8503032602825207,2025-11-16T19:45:25.905450
86,-23.81368445223223,0.8486026537619556,2025-11-16T19:45:32.396535
87,-10.329940421015623,0.8469054484544317,2025-11-16T19:45:38.797521
88,-71.00256168218553,0.8452116375575228,2025-11-16T19:45:45.201588
89,-15.791861001641577,0.8435212142824078,2025-11-16T19:45:52.538262
90,34.829672544888695,0.841834171853843,2025-11-16T19:46:00.176079
91,14.995594946056798,0.8401505035101353,2025-11-16T19:46:07.629737
92,87.10119376625335,0.838470202503115,2025-11-16T19:46:15.259237
93,-34.89065492013791,0.8367932620981088,2025-11-16T19:46:22.536604
94,93.69008767526492,0.8351196755739125,2025-11-16T19:46:28.855018
95,46.45609037611024,0.8334494362227647,2025-11-16T19:46:35.354956
96,7.968048128813891,0.8317825373503192,2025-11-16T19:46:41.823762
97,-5.113648009900583,0.8301189722756185,2025-11-16T19:46:47.909640
98,129.2422421837308,0.8284587343310672,2025-11-16T19:46:54.175259
99,21.31104755732776,0.8268018168624051,2025-11-16T19:47:00.885745
