episode,reward_sum,epsilon,timestamp
0,108.85753513674979,1.0,2025-11-15T22:38:20.837243
1,1.5624283020629584,1.0,2025-11-15T22:38:20.886283
2,-25.268091557423432,1.0,2025-11-15T22:38:20.928235
3,63.23220055530403,1.0,2025-11-15T22:38:21.121049
4,167.89956774092835,0.998,2025-11-15T22:38:27.036423
5,31.257324160293464,0.996004,2025-11-15T22:38:32.506149
6,22.156617180162094,0.994011992,2025-11-15T22:38:38.037273
7,100.65029595499094,0.992023968016,2025-11-15T22:38:43.522931
8,57.405406889864835,0.990039920079968,2025-11-15T22:38:48.839134
9,-13.246933815829491,0.9880598402398081,2025-11-15T22:38:54.286320
0,-54.27841008944368,1.0,2025-11-15T23:20:09.045147
1,74.4845829349504,1.0,2025-11-15T23:20:09.167520
2,-55.08210447578803,1.0,2025-11-15T23:20:09.251431
3,-2.517575918962553,0.998,2025-11-15T23:20:15.349257
4,-17.05074650120261,0.996004,2025-11-15T23:20:20.994101
5,-2.0610538659728697,0.994011992,2025-11-15T23:20:26.634584
6,-9.767561834068399,0.992023968016,2025-11-15T23:20:32.181254
7,-26.81096822777519,0.990039920079968,2025-11-15T23:20:37.888759
8,46.942671394010546,0.9880598402398081,2025-11-15T23:20:43.655026
9,-18.668197007843894,0.9860837205593285,2025-11-15T23:20:49.519968
0,-10.742756701962158,1.0,2025-11-15T23:23:35.786239
1,84.68035926703585,1.0,2025-11-15T23:23:35.991964
2,147.78747636536548,1.0,2025-11-15T23:23:36.137946
3,-2.269591006074748,1.0,2025-11-15T23:23:36.223155
4,19.875109808650194,0.998,2025-11-15T23:23:42.148251
5,-3.0799088801536847,0.996004,2025-11-15T23:23:47.492591
6,11.194856772968024,0.994011992,2025-11-15T23:23:52.980029
7,30.40825036924562,0.992023968016,2025-11-15T23:23:58.417840
8,-0.8647200506795443,0.990039920079968,2025-11-15T23:24:03.812510
9,2.138881930378375,0.9880598402398081,2025-11-15T23:24:09.145436
10,-5.603444145693462,0.9860837205593285,2025-11-15T23:24:14.723134
11,-15.314998984920706,0.9841115531182099,2025-11-15T23:24:20.134511
12,-49.813497263525704,0.9821433300119734,2025-11-15T23:24:25.479641
13,26.20405786782635,0.9801790433519495,2025-11-15T23:24:31.045882
14,-63.6601152894565,0.9782186852652456,2025-11-15T23:24:36.604230
15,-60.710889236810374,0.976262247894715,2025-11-15T23:24:42.195979
16,-62.181636707738704,0.9743097233989256,2025-11-15T23:24:48.018318
17,112.1990799056322,0.9723611039521278,2025-11-15T23:24:53.651609
18,46.236458291544025,0.9704163817442236,2025-11-15T23:24:59.410607
19,40.85892922425825,0.9684755489807352,2025-11-15T23:25:05.167760
20,-0.18017826714787688,0.9665385978827737,2025-11-15T23:25:10.786921
21,28.697231074970432,0.9646055206870082,2025-11-15T23:25:16.189891
22,-12.331493577980844,0.9626763096456342,2025-11-15T23:25:21.851172
23,-12.720228196540909,0.9607509570263429,2025-11-15T23:25:27.611758
24,-15.730395744095325,0.9588294551122902,2025-11-15T23:25:33.272417
25,4.823883113548359,0.9569117962020657,2025-11-15T23:25:38.922648
26,-4.484827011296417,0.9549979726096616,2025-11-15T23:25:44.653969
27,-54.80616967367338,0.9530879766644422,2025-11-15T23:25:50.500834
28,16.907713105005236,0.9511818007111134,2025-11-15T23:25:56.388240
29,-55.34292685741796,0.9492794371096911,2025-11-15T23:26:02.147457
30,20.12753027065306,0.9473808782354717,2025-11-15T23:26:07.955932
31,17.443826891379423,0.9454861164790007,2025-11-15T23:26:13.765460
32,9.531566673019533,0.9435951442460427,2025-11-15T23:26:19.821516
33,-27.054701883847024,0.9417079539575507,2025-11-15T23:26:25.744501
34,106.60430857310374,0.9398245380496356,2025-11-15T23:26:31.865601
35,67.71074312537779,0.9379448889735363,2025-11-15T23:26:37.605352
36,26.328883375283908,0.9360689991955893,2025-11-15T23:26:43.427807
37,74.3016973003593,0.9341968611971981,2025-11-15T23:26:49.412360
38,4.511848542657042,0.9323284674748037,2025-11-15T23:26:55.101425
39,16.39716295502481,0.930463810539854,2025-11-15T23:27:01.029445
40,-61.53375478034338,0.9286028829187744,2025-11-15T23:27:06.926158
41,38.178315561533545,0.9267456771529368,2025-11-15T23:27:12.901156
42,-30.11926234038238,0.9248921857986309,2025-11-15T23:27:18.719805
43,44.783127778708206,0.9230424014270336,2025-11-15T23:27:24.576438
44,28.546742796393097,0.9211963166241796,2025-11-15T23:27:30.576154
45,-13.756102315782297,0.9193539239909312,2025-11-15T23:27:37.299689
46,62.19944388279231,0.9175152161429493,2025-11-15T23:27:43.834903
47,-14.78305030313372,0.9156801857106633,2025-11-15T23:27:50.535406
48,-54.777460611791284,0.913848825339242,2025-11-15T23:27:57.385657
49,-66.07522437936439,0.9120211276885636,2025-11-15T23:28:03.918086
0,-38.448658474810884,1.0,2025-11-15T23:28:59.674046
1,-53.11407662450206,1.0,2025-11-15T23:28:59.753552
2,-17.674987092955945,1.0,2025-11-15T23:28:59.806112
3,59.96526758404157,1.0,2025-11-15T23:28:59.896440
4,19.919097930008682,1.0,2025-11-15T23:28:59.944004
5,4.762127760173776,0.998,2025-11-15T23:29:05.771732
6,25.69392936882835,0.996004,2025-11-15T23:29:11.382188
7,-58.030967787840225,0.994011992,2025-11-15T23:29:16.864623
8,5.036992192390798,0.992023968016,2025-11-15T23:29:22.406514
9,42.35867465002192,0.990039920079968,2025-11-15T23:29:27.873077
10,23.226932098788794,0.9880598402398081,2025-11-15T23:29:33.405311
11,-61.30944790095015,0.9860837205593285,2025-11-15T23:29:39.029205
12,-12.748200183192829,0.9841115531182099,2025-11-15T23:29:44.520955
13,17.577986347316113,0.9821433300119734,2025-11-15T23:29:50.101673
14,11.98116686408505,0.9801790433519495,2025-11-15T23:29:55.674547
15,-19.520753181974197,0.9782186852652456,2025-11-15T23:30:01.283367
16,11.158822587256648,0.976262247894715,2025-11-15T23:30:06.887220
17,43.74278866371846,0.9743097233989256,2025-11-15T23:30:12.513001
18,142.68224245686923,0.9723611039521278,2025-11-15T23:30:18.105130
19,32.29875686020724,0.9704163817442236,2025-11-15T23:30:23.756333
20,159.50452868932607,0.9684755489807352,2025-11-15T23:30:29.428385
21,48.35593440616768,0.9665385978827737,2025-11-15T23:30:34.974224
22,-5.400650418232043,0.9646055206870082,2025-11-15T23:30:40.396465
23,-2.1984789751234963,0.9626763096456342,2025-11-15T23:30:45.925591
24,-25.74623982545569,0.9607509570263429,2025-11-15T23:30:51.649536
25,20.451058683272706,0.9588294551122902,2025-11-15T23:30:57.203965
26,-30.21240569524179,0.9569117962020657,2025-11-15T23:31:02.733507
27,16.510619519218125,0.9549979726096616,2025-11-15T23:31:08.536778
28,-12.449382288640406,0.9530879766644422,2025-11-15T23:31:14.072926
29,28.321142873303458,0.9511818007111134,2025-11-15T23:31:19.771223
30,52.848591402666415,0.9492794371096911,2025-11-15T23:31:25.333510
