episode,reward_sum,epsilon,mse,timestamp
2,-52.28155466339752,0.998,113812.77567346128,2025-11-06T09:12:27.235484
3,40.61715924895865,0.996004,436214.3506268861,2025-11-06T09:12:35.402717
4,-65.71353267646109,0.994011992,555585.294259054,2025-11-06T09:12:43.280152
5,-23.989154841756257,0.992023968016,431442.57441583026,2025-11-06T09:12:51.471934
6,7.885211853156239,0.990039920079968,119601.40678454454,2025-11-06T09:12:59.438171
7,-5.3909425282107755,0.9880598402398081,76679.71568551654,2025-11-06T09:13:07.401674
8,9.810953174619204,0.9860837205593285,129944.95022639864,2025-11-06T09:13:15.307554
9,-4.94371669915256,0.9841115531182099,47842.35397140403,2025-11-06T09:13:23.349381
10,-59.40917522643421,0.9821433300119734,46298.054381192596,2025-11-06T09:13:31.337432
11,16.28867448807747,0.9801790433519495,20552.06637813615,2025-11-06T09:13:39.234675
12,-62.1770924762497,0.9782186852652456,16593.46433187545,2025-11-06T09:13:47.225297
13,33.77130328253514,0.976262247894715,5622.403568820791,2025-11-06T09:13:55.326728
14,120.66958793767341,0.9743097233989256,9355.394548227581,2025-11-06T09:14:03.345018
15,-17.671413121701097,0.9723611039521278,7836.175143938909,2025-11-06T09:14:11.359438
16,4.532233517243775,0.9704163817442236,10757.330085470197,2025-11-06T09:14:19.269047
17,1.9648132534072076,0.9684755489807352,15994.870992438946,2025-11-06T09:14:27.129445
18,26.944113331646015,0.9665385978827737,13888.632758268513,2025-11-06T09:14:35.128545
19,-17.953493899876143,0.9646055206870082,8446.23435966415,2025-11-06T09:14:43.104904
20,7.345594802456759,0.9626763096456342,6525.6241711309,2025-11-06T09:14:50.760224
21,-2.5644296946473553,0.9607509570263429,10129.887629868188,2025-11-06T09:14:58.478548
22,-1.5296670355930218,0.9588294551122902,8179.0652164641915,2025-11-06T09:15:06.563592
23,40.63171665890114,0.9569117962020657,13203.717522540197,2025-11-06T09:15:14.794441
24,-53.71205313551228,0.9549979726096616,14527.055532862805,2025-11-06T09:15:22.941992
25,97.5737236533408,0.9530879766644422,9168.21020950939,2025-11-06T09:15:31.244912
26,-14.732118662942366,0.9511818007111134,7501.333123882367,2025-11-06T09:15:39.349779
27,10.553816680576674,0.9492794371096911,13266.910333446625,2025-11-06T09:15:47.544025
28,16.318809260069557,0.9473808782354717,20682.854942967722,2025-11-06T09:15:55.643809
29,21.593605706853864,0.9454861164790007,6280.309189417756,2025-11-06T09:16:03.643062
30,73.02024997848547,0.9435951442460427,3227.042698748175,2025-11-06T09:16:11.867814
31,-27.69279078979833,0.9417079539575507,5751.318898177001,2025-11-06T09:16:20.528749
32,39.0315734250983,0.9398245380496356,4195.456760754813,2025-11-06T09:16:29.134349
33,-72.59758180327731,0.9379448889735363,10357.935755193166,2025-11-06T09:16:38.111004
34,-68.83774243464043,0.9360689991955893,6429.379125902531,2025-11-06T09:16:46.808461
35,21.890225972619845,0.9341968611971981,10572.98179468002,2025-11-06T09:16:55.795740
36,-56.06525388828319,0.9323284674748037,8150.3938078094725,2025-11-06T09:17:04.711990
37,-2.3042802292906153,0.930463810539854,7204.860293662908,2025-11-06T09:17:13.367260
