episode,reward_sum,epsilon,timestamp
0,-46.83031395413222,1.0,2025-11-15T23:59:44.926381
1,43.83606373696664,1.0,2025-11-15T23:59:44.992968
2,11.476264703656135,1.0,2025-11-15T23:59:45.178976
3,63.96812553136641,0.998,2025-11-15T23:59:50.999857
4,-57.802317505889846,0.996004,2025-11-15T23:59:56.378542
5,14.651201372132427,0.994011992,2025-11-16T00:00:01.748188
6,56.11953555966555,0.992023968016,2025-11-16T00:00:07.315468
7,-35.90918910114801,0.990039920079968,2025-11-16T00:00:12.923208
8,-32.261807337879375,0.9880598402398081,2025-11-16T00:00:18.262600
9,-12.745557620653475,0.9860837205593285,2025-11-16T00:00:23.668039
