episode,reward_with_human,reward_without_human
0,-6.087195928,112.83158918518521
1,5.368365555896855,-0.70181998
2,-6.956509929,-22.97171224
3,6.398510087964695,-13.55102459
4,-7.631621433,67.15337369534132
5,-6.164756544,6.390878683742738
6,46.60677613008724,15.440151786989226
7,27.417334205859774,83.15555284248178
8,94.90690230590275,-2.273623219
9,6.096957698251545,118.76297919119372
10,-46.46791236,33.727588933094665
11,30.05447738737167,36.536112384420456
12,2.255971005727769,36.04866188997399
13,55.58946902068436,168.1098921369547
14,-38.79678849,32.11365230997566
15,49.94449460183276,29.80815654
16,49.735392936401254,-73.17219335
17,42.981616881918626,83.26887655014089
18,134.54120636435542,9.523380447
19,44.53228738405318,155.78833820341254
20,155.95652792662887,36.74279738339272
21,-64.72766202,37.78116544573845
22,-68.91044118,132.5771042330494
23,-63.71232285,185.79378155610502
24,-3.258454381,67.77694402051539
25,14.16446402,-42.18093019
26,9.184301785004187,105.21107945083331
27,-33.29582209,8.330767792425938
28,-0.294829551,-9.620739017
29,40.02488372668711,169.38043472180453
30,184.3498475,1.2684772052848245
31,-20.02456154,76.33765530722938
32,-20.38140884,-14.91422828
33,-20.20327856,5.083890409427269
34,36.69467177090348,94.01917381
35,18.25207838899594,32.97146711756939
36,-0.233729135,-66.19242128
37,4.356045966925681,71.10515460176035
38,-14.27975842,5.3790783457356675
39,14.248035978814883,22.444429238915653
40,106.76858804935767,-31.45631576
41,-6.736268715,48.7430826
42,-16.45834996,-24.69610223
43,-19.82702503,159.31317067380596
44,13.129322841993329,18.010219525046637
45,-2.611902742,34.79751497145089
46,-40.10380259,57.175839640834766
47,-7.024673814,23.748816427598882
48,21.332272173283663,29.12458632438758
49,54.37625458844572,99.40450619542332
50,26.420559327347746,0.3141839934353712
51,101.86865361557386,39.57341365
52,18.698530871812103,48.03898217
53,-41.33806568,108.13253544432152
54,101.70306150650707,102.71794299897456
55,165.53766287541757,-70.34444655
56,6.587137772982874,54.85066358591658
57,-16.47507001,-39.74778738
58,31.536825059481693,168.50194918177073
59,315.1421711,-65.3496315
60,65.29015440342445,-5.632403563
61,52.76543428952921,60.67830637321315
62,50.243195232763554,27.93136144080892
63,50.22908290104871,-33.36604542
64,125.56677501180212,1.029859386478659
65,-37.76376565,103.37773738017718
66,1.2879812836167197,15.74661248239073
67,-64.89281615,109.21506231001868
68,137.94334676005158,12.83221364961706
69,38.09238193476824,32.10349060644054
70,21.864423703694598,134.67615398160575
71,66.64089566,24.171685636544524
72,-3.47114344,-12.37705966
73,37.62778681146616,-11.55508395
74,5.076516259053456,33.74572476407747
75,99.39569676817767,-26.77879938
76,54.797296883140774,-5.773957367
77,34.47359738046608,72.78304744667082
78,25.05523727949125,80.33075713103788
79,37.132208044696355,-6.520694234
80,116.54434374491206,130.3022325
81,-37.005197,11.351301659567593
82,-36.57878881,-83.83016339
83,-30.71067196,-3.458446945
84,146.1413932215884,-4.159560984
85,-8.764351716,26.173103345450322
86,137.06047609562077,-59.32626794
87,-5.504427301,111.13042098115017
88,-61.73497417,85.66319126407728
89,3.8101246174999766,-83.76856019
90,81.09203688,33.282265381100345
91,-45.54896359,127.78122160716345
92,72.96274436593194,-87.24670079
93,100.67626771653391,15.244224007335724
94,84.02062055561454,70.80991874305705
95,79.17344545379957,107.72158485637718
96,36.14669676461028,70.79489813746558
97,67.12413039133698,
98,4.831188109568888,
99,187.1125225759284,
