episode,reward_sum,epsilon,mse,timestamp
3,112.83158918518521,0.998,42598.09879082675,2025-11-16T22:43:15.735065
4,-0.7018199797738554,0.996004,146395.64827349118,2025-11-16T22:43:28.914530
5,-22.971712241783166,0.994011992,39579.572076515506,2025-11-16T22:43:38.064925
6,-13.5510245884318,0.992023968016,12333.534265220007,2025-11-16T22:43:50.896710
7,67.15337369534132,0.990039920079968,8505.025461940555,2025-11-16T22:44:00.057125
8,6.390878683742738,0.9880598402398081,8206.209378543257,2025-11-16T22:44:13.397129
9,15.440151786989226,0.9860837205593285,7848.084544697448,2025-11-16T22:44:22.944681
10,83.15555284248178,0.9841115531182099,7655.578721125446,2025-11-16T22:44:42.686317
11,-2.273623218510128,0.9821433300119734,8490.129852026943,2025-11-16T22:44:52.206758
12,118.76297919119372,0.9801790433519495,5675.691998138547,2025-11-16T22:45:19.596339
13,33.727588933094665,0.9782186852652456,19465.498711904984,2025-11-16T22:45:30.678378
14,36.536112384420456,0.976262247894715,81843.38626268065,2025-11-16T22:45:46.773123
15,36.04866188997399,0.9743097233989256,64134.98415673422,2025-11-16T22:45:56.675025
16,168.1098921369547,0.9723611039521278,335282.5054765816,2025-11-16T22:46:20.704996
17,32.11365230997566,0.9704163817442236,45286.601635533014,2025-11-16T22:46:30.933223
18,29.8081565381747,0.9684755489807352,79189.7578878326,2025-11-16T22:46:45.537835
19,-73.1721933532279,0.9665385978827737,65334.13611230274,2025-11-16T22:46:55.089464
20,83.26887655014089,0.9646055206870082,22976.018771211548,2025-11-16T22:47:13.823404
21,9.52338044652953,0.9626763096456342,32084.47762164238,2025-11-16T22:47:23.591289
22,155.78833820341254,0.9607509570263429,18408.265972714948,2025-11-16T22:47:46.561624
23,36.74279738339272,0.9588294551122902,22478.21189409729,2025-11-16T22:47:56.433403
24,37.78116544573845,0.9569117962020657,22547.86846304366,2025-11-16T22:48:11.760489
25,132.5771042330494,0.9549979726096616,54179.809071942254,2025-11-16T22:48:21.904661
26,185.79378155610502,0.9530879766644422,82482.12478306361,2025-11-16T22:48:47.649204
27,67.77694402051539,0.9511818007111134,59981.22284781833,2025-11-16T22:48:57.463423
28,-42.18093018855634,0.9492794371096911,53364.97602457027,2025-11-16T22:49:11.193188
29,105.21107945083331,0.9473808782354717,23899.769570999517,2025-11-16T22:49:21.025900
30,8.330767792425938,0.9454861164790007,17752.269362107487,2025-11-16T22:49:34.976140
31,-9.620739016646745,0.9435951442460427,30948.17624764358,2025-11-16T22:49:44.718318
32,169.38043472180453,0.9417079539575507,35703.597274873515,2025-11-16T22:50:09.218171
33,1.2684772052848245,0.9398245380496356,23444.30607347933,2025-11-16T22:50:19.753388
34,76.33765530722938,0.9379448889735363,72456.76091284679,2025-11-16T22:50:39.944164
35,-14.914228276743806,0.9360689991955893,1044603.8313751108,2025-11-16T22:50:50.118369
36,5.083890409427269,0.9341968611971981,14055122.194759635,2025-11-16T22:51:07.097119
37,94.0191738123985,0.9323284674748037,4395287221.654938,2025-11-16T22:51:19.655616
38,32.97146711756939,0.930463810539854,2668235720.1322694,2025-11-16T22:52:01.180926
39,-66.19242127667503,0.9286028829187744,3002815305.9406524,2025-11-16T22:52:12.275144
40,71.10515460176035,0.9267456771529368,2603372511.062403,2025-11-16T22:52:34.522243
41,5.3790783457356675,0.9248921857986309,4693361971.343746,2025-11-16T22:52:45.094003
42,22.444429238915653,0.9230424014270336,5300852669.693671,2025-11-16T22:53:00.143384
43,-31.456315760045648,0.9211963166241796,1298190801.0951583,2025-11-16T22:53:10.355138
44,48.7430826003086,0.9193539239909312,1006501904.027125,2025-11-16T22:53:27.227451
45,-24.696102233052226,0.9175152161429493,787130005.0990505,2025-11-16T22:53:37.547591
46,159.31317067380596,0.9156801857106633,587144148.67631,2025-11-16T22:54:01.385153
47,18.010219525046637,0.913848825339242,327722625.67127365,2025-11-16T22:54:11.891332
48,34.79751497145089,0.9120211276885636,388518389.27394867,2025-11-16T22:54:30.115102
49,57.175839640834766,0.9101970854331864,350883777.0101502,2025-11-16T22:54:41.097149
50,23.748816427598882,0.9083766912623201,212633074.6751237,2025-11-16T22:54:58.163536
51,29.12458632438758,0.9065599378797955,243526821.87739983,2025-11-16T22:55:08.708277
52,99.40450619542332,0.9047468180040359,216468792.9464382,2025-11-16T22:55:28.989303
53,0.3141839934353712,0.9029373243680279,190625347.61273125,2025-11-16T22:55:39.331637
54,39.5734136476473,0.9011314497192918,172032828.943287,2025-11-16T22:55:55.645153
55,48.0389821703115,0.8993291868198532,142776578.15754923,2025-11-16T22:56:06.173766
56,108.13253544432152,0.8975305284462135,121144455.87282991,2025-11-16T22:56:26.628979
57,102.71794299897456,0.8957354673893211,174340432.86361215,2025-11-16T22:56:36.715195
58,-70.34444654765475,0.8939439964545425,84607884.19014986,2025-11-16T22:56:58.469433
59,54.85066358591658,0.8921561084616334,101434223.14334875,2025-11-16T22:57:08.700303
60,-39.747787382308644,0.8903717962447101,46720284.96535916,2025-11-16T22:57:23.187142
61,168.50194918177073,0.8885910526522206,39998331.33406826,2025-11-16T22:57:34.433245
62,-65.34963150038905,0.8868138705469162,48046735.98022381,2025-11-16T22:57:54.739603
63,-5.632403562619444,0.8850402428058224,27101315.4844579,2025-11-16T22:58:05.998597
64,60.67830637321315,0.8832701623202107,33492238.178453594,2025-11-16T22:58:25.067729
65,27.93136144080892,0.8815036219955703,34462312.30595096,2025-11-16T22:58:35.113630
66,-33.36604542423994,0.8797406147515792,12299652.597218456,2025-11-16T22:58:49.273687
