episode,reward_sum,epsilon,timestamp,reward_sum_human
0,-22.1034434,1,2025-11-11T08:05:22.395677,276.4928854833315
1,54.351625947774096,1,2025-11-11T08:05:22.562648,278.85672405373805
2,1.3458939750200862,1,2025-11-11T08:05:22.613288,285.0955105317626
3,-60.62839518,1,2025-11-11T08:05:22.672753,-39.02929656
4,6.684167158776042,0.998,2025-11-11T08:05:28.471387,211.65969879537414
5,28.097757686573956,0.996004,2025-11-11T08:05:33.791850,-76.17929166
6,-6.228689398,0.994011992,2025-11-11T08:05:39.353636,28.339841779812538
7,23.043174455642877,0.992023968,2025-11-11T08:05:44.803788,36.52127740979701
8,2.3568779361467804,0.99003992,2025-11-11T08:05:50.273570,114.59095471847175
9,-52.83743861,0.9880598402398081,2025-11-11T08:05:55.915090,39.01815470663881
10,10.023898476847975,0.9860837205593285,2025-11-11T08:06:01.341338,274.2663460990931
11,-13.59254489,0.9841115531182099,2025-11-11T08:06:06.782828,141.91519543592554
12,-0.540190576,0.9821433300119734,2025-11-11T08:06:12.147911,15.405505923568967
13,-15.04196957,0.9801790433519495,2025-11-11T08:06:17.675283,51.21661916458919
14,-59.94788638,0.9782186852652456,2025-11-11T08:06:23.237657,5.1857336621211125
15,-5.446660849,0.976262248,2025-11-11T08:06:28.745925,-17.49247952
16,1.2137588785356108,0.9743097233989256,2025-11-11T08:06:34.255749,-55.93585311
17,53.49023533266943,0.9723611039521278,2025-11-11T08:06:39.664489,160.23082592570543
18,11.570547068796294,0.9704163817442236,2025-11-11T08:06:45.094473,158.08141546272898
19,31.351969358793625,0.9684755489807352,2025-11-11T08:06:50.630118,-17.58345114
20,-37.3376264,0.9665385978827737,2025-11-11T08:06:56.221781,280.2339712463832
21,75.87858307176027,0.9646055206870082,2025-11-11T08:07:01.951068,5.350485399090346
22,14.919856118665365,0.9626763096456342,2025-11-11T08:07:07.669106,19.36230463005589
23,-36.23757616,0.9607509570263429,2025-11-11T08:07:13.717571,19.329467448914066
24,-66.09877151,0.9588294551122902,2025-11-11T08:07:19.650461,128.73219227445264
25,-41.89922361,0.9569117962020657,2025-11-11T08:07:25.477861,149.1269146225194
26,23.679725219770752,0.9549979726096616,2025-11-11T08:07:31.230891,-46.23381577
27,32.07705609018522,0.9530879766644422,2025-11-11T08:07:36.862156,-49.04444099
28,-15.38083378,0.9511818007111134,2025-11-11T08:07:42.753038,-49.99966434
29,-19.65373897,0.9492794371096911,2025-11-11T08:07:48.314994,-6.571273724
30,54.27355915585375,0.9473808782354717,2025-11-11T08:07:54.276380,290.66980851981015
31,-9.22405142,0.9454861164790007,2025-11-11T08:08:00.013306,24.034012330642327
32,7.590145405364186,0.9435951442460427,2025-11-11T08:08:05.954924,67.55640285387264
33,-39.90504082,0.9417079539575507,2025-11-11T08:08:11.690031,151.1769930127092
34,-26.24190079,0.9398245380496356,2025-11-11T08:08:17.288849,-16.63801357
35,-34.50884222,0.9379448889735363,2025-11-11T08:08:23.218773,55.18870419
36,0.7093721983121881,0.9360689991955893,2025-11-11T08:08:28.994503,5.786187996662306
37,8.385656881616853,0.9341968611971981,2025-11-11T08:08:34.903704,17.800067560209904
38,-37.364922,0.9323284674748037,2025-11-11T08:08:40.802578,155.84373688894019
39,29.029795026096075,0.930463811,2025-11-11T08:08:46.507942,92.03926389710688
40,99.53448854545681,0.9286028829187744,2025-11-11T08:08:52.728335,271.09478773450854
41,-17.97714285,0.9267456771529368,2025-11-11T08:08:58.721911,5.343670576376571
42,59.951791032926266,0.9248921857986309,2025-11-11T08:09:04.505765,-26.19561
43,-61.54745964,0.9230424014270336,2025-11-11T08:09:10.319745,99.09708836
44,4.791424970590501,0.9211963166241796,2025-11-11T08:09:15.994473,-0.507005122
45,12.956522913880903,0.9193539239909312,2025-11-11T08:09:22.493251,-91.0056866
46,13.917859777201762,0.9175152161429493,2025-11-11T08:09:29.595631,-3.958039661
47,-47.5620142,0.9156801857106633,2025-11-11T08:09:35.869995,11.368858156218888
48,102.49420340798981,0.913848825,2025-11-11T08:09:42.531683,53.97449080184258
49,36.915092246996075,0.9120211276885636,2025-11-11T08:09:49.134540,-26.86797404
50,79.21289407,0.9101970854331864,2025-11-11T08:09:55.986274,
51,85.70892855056694,0.9083766912623201,2025-11-11T08:10:02.857713,
52,46.65250296424027,0.9065599378797955,2025-11-11T08:10:09.368114,
53,-26.70699612,0.9047468180040359,2025-11-11T08:10:16.122496,
